iter	Logloss
0	0.6261554286
1	0.6173075446
2	0.6142430982
3	0.6125618839
4	0.6112484643
5	0.6100640982
6	0.6091661339
7	0.60855675
8	0.6079161696
9	0.6074453571
10	0.6069835804
11	0.6064465268
12	0.6058904107
13	0.6054623125
14	0.6049122946
15	0.6045940625
16	0.6042405446
17	0.6037958661
18	0.6034430357
19	0.6032291607
20	0.6029663929
21	0.6025692679
22	0.6022786696
23	0.6019746875
24	0.601719375
25	0.6014324821
26	0.6011445982
27	0.6009011964
28	0.6006863214
29	0.6002854732
30	0.5999601429
31	0.5998600089
32	0.5996509018
33	0.5992954241
34	0.5990002768
35	0.5988062946
36	0.5985042009
37	0.5981404911
38	0.5979440446
39	0.5977679598
40	0.5975163036
41	0.5973230268
42	0.5971761562
43	0.5969369866
44	0.5968064866
45	0.5965262634
46	0.5962012455
47	0.59603525
48	0.595799058
49	0.5956305268
50	0.5953798661
51	0.5951362545
52	0.5950237723
53	0.5948815312
54	0.5946457009
55	0.5944647277
56	0.5943337857
57	0.5940669107
58	0.5939306518
59	0.5937708393
60	0.5936160179
61	0.5933964509
62	0.5932226116
63	0.5931195179
64	0.5929994286
65	0.5927531205
66	0.5926050536
67	0.5924041741
68	0.5921548125
69	0.5920499911
70	0.5918959866
71	0.5916798929
72	0.5915818438
73	0.5914789107
74	0.5913666875
75	0.5911071027
76	0.5908447768
77	0.5906403929
78	0.5904073839
79	0.5902963259
80	0.59019475
81	0.5901372946
82	0.5900666161
83	0.5898625446
84	0.5897528884
85	0.5895570402
86	0.5894170446
87	0.5892837098
88	0.5892030714
89	0.5890357366
90	0.5888929286
91	0.5887237768
92	0.5885581518
93	0.5883679152
94	0.588258808
95	0.5880612723
96	0.587822308
97	0.5876644509
98	0.5875420313
99	0.5872974375
100	0.5871254598
101	0.5870567902
102	0.5868693259
103	0.586658183
104	0.5865594241
105	0.5864111429
106	0.5863023348
107	0.5862468929
108	0.5861500759
109	0.5859075982
110	0.585806942
111	0.5857088661
112	0.585547442
113	0.5853308929
114	0.5851918973
115	0.585088558
116	0.5849111652
117	0.5847436027
118	0.5845773884
119	0.5844629554
120	0.5843712946
121	0.5842555848
122	0.5841139821
123	0.5839618125
124	0.5838242634
125	0.5837148393
126	0.5835473036
127	0.5834570223
128	0.5833346116
129	0.5832440045
130	0.5831793661
131	0.5831200134
132	0.5829926652
133	0.5828817321
134	0.5827439866
135	0.5826557812
136	0.5825096116
137	0.582433933
138	0.5823699241
139	0.5822495848
140	0.5821723482
141	0.5821000938
142	0.5819270223
143	0.5818397009
144	0.581786692
145	0.581674
146	0.5816115625
147	0.581534
148	0.5814295446
149	0.5813267991
