iter	Passed	Remaining
0	498	74241
1	1042	77114
2	1547	75840
3	1964	71689
4	2389	69299
5	2795	67081
6	3131	63963
7	3493	62002
8	3856	60416
9	4198	58781
10	4569	57741
11	4890	56241
12	5402	56928
13	5875	57079
14	6359	57236
15	6812	57056
16	7184	56205
17	7570	55517
18	7887	54379
19	8227	53480
20	8619	52950
21	9034	52562
22	9452	52194
23	9980	52398
24	10471	52357
25	11065	52771
26	11575	52731
27	11981	52206
28	12325	51428
29	12730	50920
30	13353	51260
31	13877	51174
32	14408	51084
33	14937	50963
34	15374	50515
35	15971	50575
36	16370	49996
37	16714	49264
38	17161	48844
39	17863	49123
40	18295	48640
41	18648	47952
42	19022	47334
43	19422	46789
44	19857	46333
45	20202	45674
46	20609	45164
47	20980	44583
48	21385	44080
49	21764	43529
50	22163	43023
51	22557	42511
52	22914	41937
53	23288	41402
54	23714	40961
55	24124	40493
56	24485	39949
57	24940	39560
58	25304	39028
59	25669	38504
60	26040	37994
61	26430	37514
62	26796	37004
63	27105	36422
64	27448	35894
65	27867	35468
66	28211	34948
67	28586	34472
68	29123	34187
69	29472	33683
70	29909	33279
71	30356	32886
72	30706	32389
73	31045	31884
74	31440	31440
75	31866	31027
76	32260	30584
77	32625	30116
78	32974	29635
79	33351	29182
80	33736	28738
81	34120	28294
82	34503	27851
83	34903	27423
84	35255	26960
85	35690	26560
86	36051	26106
87	36427	25664
88	36857	25262
89	37370	24913
90	37780	24495
91	38202	24083
92	38566	23637
93	38988	23226
94	39456	22843
95	39914	22452
96	40329	22035
97	40724	21608
98	41127	21186
99	41543	20771
100	41955	20354
101	42554	20025
102	43194	19710
103	44052	19484
104	44752	19179
105	45620	18936
106	46465	18673
107	47105	18318
108	47671	17931
109	48217	17533
110	48667	17099
111	49179	16685
112	49771	16296
113	50337	15896
114	50752	15446
115	51172	14998
116	51543	14537
117	51987	14098
118	52402	13651
119	52867	13216
120	53387	12795
121	53897	12369
122	54466	11956
123	54972	11526
124	55522	11104
125	56098	10685
126	56578	10246
127	57022	9800
128	57493	9359
129	57964	8917
130	58368	8465
131	58810	8019
132	59246	7572
133	59681	7126
134	60079	6675
135	60472	6225
136	60964	5784
137	61356	5335
138	61726	4884
139	62096	4435
140	62508	3989
141	62888	3542
142	63287	3097
143	63734	2655
144	64095	2210
145	64496	1767
146	65001	1326
147	65439	884
148	65909	442
149	66317	0
